study,condition,qualification
study interventions are vidarabine, noncutaneous extranodal lymphoma diagnosis and donor,1
study interventions are npi-0052, multiple myeloma diagnosis and patients must be two weeks from last dose of radiation,1
study interventions are vidarabine, childhood diffuse large cell lymphoma diagnosis and active involvement of the central nervous system with malignancy,1
study interventions are chloroquine diphosphate, glioma diagnosis and cardiac arrhythmias,1
study interventions are vidarabine, recurrent refractory childhood hodgkin lymphoma diagnosis and severe defects in pulmonary function testing defects are currently categorized as mild moderate and severe as defined by the pulmonary consultant or receiving supplementary continuous oxygen,1
study interventions are iodine, prior invasive except nonmelanoma skin cancer or hematological acute leukemia aggressive lymphoma myeloma malignancy unless disease free for greater_than three years,1
study interventions are endothelial growth factors, recurrent primary peritoneal carcinoma diagnosis and history of idiopathic pulmonary fibrosis pneumonitis including drug induced organizing_pneumonia bronchiolitis_obliterans cryptogenic_organizing pneumonia etc,1
study interventions are dcvax-direct, liver cancer diagnosis and acute or active uncontrolled infection,1
study interventions are unpulsed pbmc and saline, glioblastoma multiforme diagnosis and prior radiotherapy to the head or neck resulting in overlap of radiation fields,1
study interventions are sm04755, pancreatic cancer diagnosis and subjects with brain metastasis,1
study interventions are sipuleucel-t, neoplasms prostatic diagnosis and more than two chemotherapy regimens at any time prior to registration,1
study interventions are intra-operative radiotherapy (iort), invasive lobular carcinoma,1
study interventions are antibodies, melanoma skin diagnosis and patients who are pregnant or nursing are excluded,1
study interventions are vorinostat, splenic marginal zone lymphoma diagnosis and patients who are receiving any other investigational agents,1
study interventions are antibodies, malignant melanoma diagnosis and pregnant or breastfeeding women,1
study interventions are amt2003, genital neoplasms female diagnosis and chemotherapy or radiotherapy less than four weeks prior to entry,1
study interventions are dasatinib, non hodgkin lymphoma diagnosis and patients who have evidence of disease progression before day one hundred after asct,1
study interventions are partial breast irradiation (pbi), breast neoplasms diagnosis and medical condition such as uncontrolled infection including hiv uncontrolled diabetes mellitus or connective tissue diseases lupus systemic sclerosis or other collagen vascular diseases which in the opinion of the treating physician would make this protocol unreasonably_hazardous for the patient,1
study interventions are fondaparinux, vaginal cancer diagnosis and known hypersensitivity to fondaparinux sodium,1
study interventions are (s)-4-(3-[18f]fluoropropyl)-l-glutamic acid (18f-fspg), stage iiia fallopian tube cancer diagnosis and pleural effusion greater_than fifty volume of the chest cavity on chest ray,1
"study interventions are dacarbazine of 850 mg/m2, or 1,000 mg/m2, or 1,200 mg/m2 iv", soft tissue sarcoma diagnosis and any serious concomitant illness or infectious disease requiring treatment or infectious disease not requiring treatment but with significant risks for myelosuppressive complications associated with chemotherapy,1
study interventions are gw-2000-02, cancer diagnosis and have not participated in gwcaone hundred and one,1
study interventions are vidarabine, angioimmunoblastic cell lymphoma diagnosis and the addition of cytotoxic agents for cytoreduction with the exception of hydroxyurea and imatinib mesylate will not be allowed within two weeks of the initiation of conditioning,1
study interventions are veliparib, ovarian serous cystadenocarcinoma diagnosis and patients of childbearing potential not practicing adequate contraception patients who are pregnant or patients who are breastfeeding are not eligible for this trial,1
study interventions are plx3397, prior treatment with kit inhibitor for melanoma,1
study interventions are endothelial growth factors, ovarian endometrioid adenocarcinoma diagnosis and no stereotactic radiation or whole brain radiation within twenty-eight days prior to cycle one day one,1
study interventions are irinotecan, neoplasms colorectal diagnosis and any history of grade iii toxicity related to prior treatment with anti vegf compound other than grade three hypertension subsequently controlled with antihypertensive agents,1
study interventions are endothelial growth factors, stage iiib fallopian tube cancer diagnosis and ctep ctcae version doc grade two or higher peripheral ischemia brief less_than two4 hours hrs episode of ischemia managed non surgically and without permanent deficit,1
study interventions are biopsies taken, familial adenomatous polyposis coli diagnosis and subjects who have diabetes mellitus,1
study interventions are antibodies, stage iiib primary peritoneal cancer diagnosis and patients with or with anticipation of invasive procedures as defined below,1
study interventions are sipuleucel-t, prostatic cancer diagnosis and any medical intervention or other condition which in the opinion of the investigator or the dendreon medical monitor could compromise adherence with study requirements or otherwise compromise the study objectives,1
study interventions are experimental 1: exercise with 2 counseling types, breast cancer diagnosis and medical psychological or social characteristic that would interfere with ability to fully participate in program activities and assessments psychosis schizophrenia etc,1
study interventions are ihp, melanoma diagnosis and active infection,1
study interventions are antibodies, recurrent mantle cell lymphoma diagnosis and previous mdx ten therapy regardless of interval since last treatment,1
study interventions are antibodies, malignant peritoneal neoplasm diagnosis and patients known to be hiv positive but without clinical evidence of an immunocompromised state are eligible for this trial,1
study interventions are degarelix, stage iib prostate cancer diagnosis and patients unwilling to use contraceptives while on study,1
study interventions are gossypol, recurrent grade two follicular lymphoma diagnosis and any condition gastrointestinal tract disease resulting in an inability to take oral medication or requirement for iv alimentation prior surgical procedures affecting absorption or active peptic ulcer disease that impairs their ability to swallow and retain at one hundred and one tablets,1
study interventions are estradiol 17 beta-cypionate, solid tumors diagnosis and prothrombin time pt international normalized ratio inr and partial thromboplastin time ptt less_than doc xuln,1
study interventions are educational information, breast cancer diagnosis and unstable angina,1
study interventions are vidarabine, stage iv adult immunoblastic large cell lymphoma diagnosis and donor,1
study interventions are lenograstim, progesterone receptor negative breast cancer diagnosis and history of uncontrolled seizures central nervous system disorders or psychiatric disability judged by the investigator to be clinically significant precluding informed consent or interfering with compliance with oral drug intake,1
study interventions are sodium chloride 0,9 % . renal cell carcinoma diagnosis and hypersensitivity to caphosol ingredients,1
study interventions are emla, microinvasive squamous cell carcinoma diagnosis and allergy to mal other topical photosensitizers or excipients of the cream,1
study interventions are veliparib, neuroendocrine neoplasm diagnosis and clinically significant and uncontrolled major medical conditions including but not limited to,1
study interventions are erlotinib hydrochloride, recurrent mucoepidermoid carcinoma of the oral cavity diagnosis and human immunodeficiency virus hiv positive patients receiving combination anti retroviral therapy are excluded from the study,1
study interventions are essiac, breast cancer diagnosis and ongoing or active infection,1
study interventions are immunoglobulin g, adult glioblastoma diagnosis and subjects taking strong cytochrome pfour hundred and fifty family three subfamily polypeptide four cypthreeafour and cytochrome pfour hundred and fifty family two subfamily polypeptide nineteen cyptwocnineteen inhibitors and or inducers should be considered with caution alternative treatments that are less likely to affect mln0onetwo8 metabolism if available should be considered if subject requires treatment with one or more of the strong cypthreeafour and cyptwocnineteen inhibitors and or inducers the principal investigator should be consulted,1
study interventions are erlotinib hydrochloride, stage ivb squamous cell carcinoma of the lip and oral cavity diagnosis and serious non healing wound ulcer or bone fracture,1
study interventions are cpi-613, solid tumors diagnosis and any active uncontrolled bleeding and any patients with bleeding diathesis active peptic ulcer disease,1
study interventions are erlotinib hydrochloride, recurrent squamous cell carcinoma of the larynx diagnosis and patients with known human immunodeficiency virus hiv infection and or acquired immune deficiency aids,1
study interventions are 18f-fluoroacetate, prostate cancer diagnosis and prisoners or subjects who are compulsorily_detained involuntarily_incarcerated for treatment of either psychiatric or physical infectious disease illness must not be enrolled into the study,1
study interventions are azacitidine, carcinoma non small cell lung diagnosis and subject has any other concurrent severe and or uncontrolled medical condition that would in the investigator judgment contraindicate patient participation in the clinical study eg chronic pancreatitis etc,1
study interventions are topotecan, ovarian cancer diagnosis and prior treatment with parp inhibitor,1
study interventions are correlative studies, stage iib prostate cancer diagnosis and have history of traumatic or surgical castration,1
study interventions are ad 923, cancer diagnosis and the subject has plans to undergo chemotherapy radiotherapy or surgery during the treatment period,1
study interventions are selinexor, ovarian carcinoma diagnosis and radiation except planned or ongoing palliative radiation to bone outside of the region of measurable disease less_than three weeks prior to conedone,1
study interventions are erlotinib hydrochloride, recurrent or refractory pediatric ependymoma diagnosis and received craniospinal radiotherapy within twenty-four weeks prior to randomization,1
study interventions are retroflexion with the pediatric colonoscope, . colonic neoplasms diagnosis and history of colon resection,1
study interventions are carboxymethylcellulose sodium, solid tumors diagnosis and the subject has history of or is reasonably suspected to meet criteria for the diagnosis of known congenital or acquired disorder causing systemic immunosuppression or the subject is currently receiving any drug or supplement which is known to be associated with systemic immune suppression including those drugs which are prescribed for solid organ or stem cell transplant autoimmune inflammatory disorders or other related medical conditions,1
study interventions are infliximab, wegener granulomatosis diagnosis and pregnancy,1
study interventions are yoga, breast neoplasm diagnosis and patients who are actively participating in yoga class,1
study interventions are niraparib, metastatic prostate cancer diagnosis and prior enzalutamide or other next generation androgen recepto negative ar targeting therapy,1
study interventions are ank, stage iiib merkel cell carcinoma diagnosis and platelets less_than fifty zero tenenine l,1
study interventions are vidarabine, stage adult immunoblastic large cell lymphoma diagnosis and donor,1
study interventions are efatutazone, colorectal cancer diagnosis and myocardial infarction with significant impairment of cardiac function ejection fraction equal_than less_than fifty severe unstable angina pectoris coronary peripheral artery bypass graft congestive heart failure cerebrovascular accident cva or transient ischemic attack tia pulmonary embolism or other clinically significant thromboembolic event clinically significant pulmonary disease severe chronic obstructive pulmonary disease copd or asthma,1
study interventions are recombinant human apolipoprotein(a) kringle v, solid tumors diagnosis and pregnant or lactating women,1
study interventions are lenograstim, multiple myeloma diagnosis and women who are breastfeeding,1
study interventions are prednisolone hemisuccinate, high risk localised prostate carcinoma diagnosis and active or uncontrolled disease that may require oral corticosteroid therapy,1
study interventions are erlotinib hydrochloride, hepatocellular carcinoma diagnosis and gastrointestinal disease resulting in an inability to take oral medication or requirement for intravenous hyperalimentation,1
study interventions are jm 3100, recurrent marginal zone lymphoma diagnosis and be currently enrolled in another investigational protocol,1
study interventions are elastography, thyroid neoplasms diagnosis and the patient refused to be operated,1
"study interventions are contraceptives, oral", cancer diagnosis and subjects with controlled atrial fibrillation for greater_than thirty days prior to enrollment are eligible,1
study interventions are temoporfin, non curative resectable bile duct carcinoma diagnosis and cytotoxic chemotherapy within the past four weeks,1
study interventions are enzalutamide, prostate carcinoma metastatic in the bone diagnosis and patient with child pugh score or c,1
study interventions are immunoglobulin g, type one papillary renal cell carcinoma diagnosis and patients who have had systemic biologic therapy or radiotherapy within two weeks prior to entering the study or those who have not recovered from adverse events related to their prior therapy,1
study interventions are antibodies, small cell lung cancer or mixed small cell and nsclc,1
study interventions are antibodies, burkitt lymphoma diagnosis and allogeneic stem cell transplant within sixty days active acute or chronic graft versus host disease gvhd or receiving immunosuppressive therapy as treatment for gvhd,1
study interventions are anti-bacterial agents, breast cancer diagnosis and has skin scar history or family history,1
study interventions are antibodies, stage iv primary peritoneal cancer diagnosis and patients with serious non healing wound ulcer or bone fracture this includes history of abdominal fistula gastrointestinal perforation or intra abdominal abscess within twenty-eight days patients with granulating_incisions healing by secondary intention with no evidence of fascial_dehiscence or infection are eligible but require weekly wound examinations,1
study interventions are dasatinib, sarcoma ewing diagnosis and erythromycins clarithromycin,1
study interventions are oral onc201, solid tumors diagnosis and history of allergic reactions attributed to compounds of similar chemical or biologic composition to onctwo hundred and one or its excipients,1
study interventions are endothelial growth factors, stage iva colorectal cancer diagnosis and uncontrolled high blood pressure defined as systolic blood pressure bp greater_than one hundred and sixty mmhg or diastolic bp one hundred mmhg with or without anti hypertensive medication patients with initial bp elevations are eligible if initiation or adjustment of bp medication lowers pressure to meet entry criteria,1
study interventions are topotecan, lung cancer diagnosis and use of st,1
study interventions are assess bulge at 30 days postoperatively, fibromatosis abdominal diagnosis and active smokers within the past four weeks presenting for elective hernia repair,1
"study interventions are contraceptives, oral", hodgkins lymphoma diagnosis and age greater_than forty,1
study interventions are lenograstim, prostate cancer diagnosis and pr interval greater_than two hundred and twentymsec,1
study interventions are blz945, advanced solid tumors diagnosis and patient receiving treatment with medications that either strong inducers or inhibitors of cyptwoceight or cypthreeafour five or patients receiving medication that prohibits proton_pump inhibitors and that cannot be discontinued at least one week prior to start of treatment and for the duration of the study,1
"study interventions are insulin, globin zinc", gastro enteropancreatic neuroendocrine tumor diagnosis and life threatening autoimmune and ischemic disorders,1
study interventions are ds-3032, lymphoma diagnosis and has gastrointestinal conditions that could affect the absorption of ds three thousand and thirty-twob in the opinion of the investigator,1
study interventions are antibodies, recurrent salivary gland cancer diagnosis and patients with history of brain metastases are eligible provided that the metastases have been surgically resected and or are radiographically and clinically stable for two months following the completion of radiation therapy,1
study interventions are antibodies, lymphoma non hodgkin diagnosis and patients who previously received radioimmunotherapy,1
study interventions are lenograstim, bladder cancer diagnosis and prior systemic cytotoxic chemotherapy or systemic anthracycline,1
study interventions are azacitidine, stage iiic breast cancer diagnosis and known sensitivity to five aza entinostat or mannitol,1
study interventions are topotecan, any ongoing toxicity from prior anti cancer therapy that is greater_than grade one and or that is progressing in severity except alopecia,1
study interventions are antibodies, stage iia esophageal cancer diagnosis and patients with history of curatively treated malignancy must be disease free for at least two years and have survival prognosis that is greater than five years,1
study interventions are azacitidine, uncontrolled concurrent illness such as neutropenic fever shock symptomatic congestive heart failure nyha class iii or iv,1
study interventions are il-12pdna, malignant melanoma diagnosis and pregnant and breast feeding women are excluded from the study because effects on the fetus are unknown and there may be risk of increased fetal wastage,1
study interventions are ire treatment, pancreatic cancer diagnosis and patient has bleeding tendency,1
study interventions are irinotecan, metastatic colorectal cancer diagnosis and other significant medical or surgical condition or any medication or treatment regimens that would place the patient at undue risk that would preclude the safe use of chemoembolisation or would interfere with study participation,1
study interventions are antibodies, carcinoma of the appendix diagnosis and human immunodeficiency virus hiv positive patients receiving combination anti retroviral therapy are excluded from the study,1
study interventions are panobinostat, multiple myeloma diagnosis and impaired cardiac function or clinically significant cardiac disease including congenital long qt syndrome history or presence of sustained ventricular tachyarrhythmia history of ventricular fibrillation or torsade de pointes bradycardia defined as heart rate hr less_than fifty beats per minute bpm pacemaker allowed provided hr greater_than fifty bpm corrected qt interval greater_than 4fifty msec on screening ecg left ventricular ejection fraction below normal on screening echo or multigated acquisition muga scan right bundle_branch block with left anterior_hemiblock bifascicular block myocardial infarction or unstable angina within the past six months new york heart association class iii iv congestive heart failure uncontrolled hypertension history of labile hypertension history of poor compliance with an antihypertensive regimen,1
study interventions are carmustine, progression of multiple myeloma or plasma cell leukemia diagnosis and donor,1
study interventions are topotecan, peritoneal cancer diagnosis and concurrent severe medical problems unrelated to the malignancy which would limit full compliance with the study,1
study interventions are dietary intervention (red tomato juice), stage iib prostate cancer diagnosis and have active metabolic or digestive illnesses such as malabsorptive disorders crohn celiac disease irritable bowel syndrome ibs renal insufficiency hepatic insufficiency cachexia or short bowel syndrome,1
"study interventions are contraceptives, oral", solid tumors diagnosis and history or current diagnosis of cardiac disease indicating significant risk of safety for patients participating in the study such as uncontrolled or significant cardiac disease,1
study interventions are vidarabine, recurrent grade three follicular lymphoma diagnosis and donor,1
study interventions are irinotecan, stage iv ovarian cancer diagnosis and any patient requiring chronic maintenance of white blood cell counts or granulocyte counts through the use of growth factor support neulasta_neupogen,1
study interventions are poly(adp-ribose) polymerase inhibitors, breast cancer diagnosis and in addition these patients are at increased risk of lethal infections when treated with marrow suppressive therapy such as carboplatin,1
study interventions are veliparib, stage iv breast cancer diagnosis and patients who have had chemotherapy or radiotherapy within four weeks six weeks for nitrosoureas or mitomycin prior to entering the study or those who have not recovered from adverse events due to agents administered more than four weeks earlier patients must have completed prior biological therapies and or targeted therapies greater_than equal_than two weeks prior to study enrollment patients who have had radiation to the pelvis or other bone marrow bearing sites will be considered on case by case basis and may be excluded if the bone marrow reserve is not considered adequate radiation to greater_than two5 of bone marrow,1
study interventions are immunoglobulin g, recurrent adult liver carcinoma diagnosis and evidence of bleeding diathesis or coagulopathy in the absence of therapeutic anticoagulation,1
study interventions are erlotinib hydrochloride, recurrent squamous cell carcinoma of the oropharynx diagnosis and treatment on any other clinical protocols or with non approved or investigational drug within four weeks before day one of study treatment,1
study interventions are erlotinib hydrochloride, stage iva verrucous carcinoma of the larynx diagnosis and patients who are felt to be poorly compliant,1
study interventions are topotecan, malignant ovarian serous tumor diagnosis and any viral or gene therapy prior to study entry,1
study interventions are acetaminophen, cancer diagnosis and renal or hepatic failure,1
study interventions are formyltetrahydrofolates, recurrent rectal cancer diagnosis and any evidence of distant metastases mone,1
study interventions are erlotinib hydrochloride, recurrent pancreatic carcinoma diagnosis and failure to fully recover from acute reversible effects of prior therapy regardless of interval since last treatment,1
study interventions are antibodies, b cell lymphoma diagnosis and fertile men and women must plan to use an effective contraception,1
study interventions are lenograstim, recurrent adult diffuse mixed cell lymphoma diagnosis and any known ventricular arrhythmia,1
study interventions are antibodies, noncontiguous stage ii adult immunoblastic large cell lymphoma diagnosis and residual grade three or grade four non hematologic toxicity after asct,1
study interventions are yn968d1, cancer patients with solid tumors diagnosis and prior exposure to ynnine hundred and sixty-eightdone prior treatment with an angiogenesis inhibitor is not exclusionary,1
study interventions are vidarabine, recurrent adult hodgkin lymphoma diagnosis and patients with poorly controlled hypertension who are unable to have blood pressure kept below one hundred and fifty ninety on standard medication,1
study interventions are immunoglobulin g, undifferentiated ovarian carcinoma diagnosis and influenza vaccination should be given during influenza season only approximately october to march patients must not receive live attenuated influenza vaccine within four weeks prior to cycle one day one or at any time during the study,1
study interventions are esophagectomy, esophageal squamous cell carcinoma diagnosis and other serious illness or medical conditions a,1
study interventions are vidarabine, hepatosplenic cell lymphoma diagnosis and patients with active bacterial or fungal infections unresponsive to medical therapy,1
study interventions are dabrafenib, stage iii melanoma diagnosis and patients with intra cardiac defibrillators or permanent pacemakers,1
study interventions are isotretinoin, stage four neuroblastoma diagnosis and patients of childbearing potential must agree to use an effective birth control method,1
study interventions are panobinostat, recurrent grade one follicular lymphoma diagnosis and persistent toxicities greater_than equal_than grade two from prior chemotherapy or biological therapy regardless of interval since last treatment,1
study interventions are poly(adp-ribose) polymerase inhibitors, breast cancer diagnosis and ctcae grade three or greater anxiety,1
study interventions are warfarin, lymphoma malignant diagnosis and patients with warfarin related skin necrosis,1
study interventions are diffusion weighted magnetic resonance imaging, sarcoma ewing diagnosis and subject is unable or unwilling to follow study requirements including signed consent or assent,1
study interventions are immediate breast reconstruction, breast cancer diagnosis and concomitant or history of nipple discharge or skin involvement,1
study interventions are vidarabine, recurrent mantle cell lymphoma diagnosis and eligible for high priority curative autologous transplant,1
study interventions are akt inhibitor mk2206, recurrent grade one follicular lymphoma diagnosis and patients on medications that may cause corrected qt qtc interval prolongation are not eligible,1
study interventions are erlotinib hydrochloride, non small cell lung cancer diagnosis and fertile women must provide negative result of pregnancy test in serum or urine within seven days prior to study treatment start,1
study interventions are radical nephroureterectomy, high grade upper tract urothelial carcinoma diagnosis and the definition of effective contraception will be based on the judgment of the mskcc and participating site pi,1
study interventions are antibodies, stage ivc verrucous carcinoma of the larynx diagnosis and myocardial infraction within the last six months documented by persistent elevated cardiac enzymes or persistent regional wall abnormalities on assessment of lvef function,1
"study interventions are gelatin sponge, absorbable", hepatocellular carcinoma diagnosis and contraindications to carboplatin epirubicin mitomycin or lipiodol,1
study interventions are antibodies, grade iii meningioma diagnosis and patients with infratentorial disease and spinal disease,1
study interventions are dihydroxyphenylalanine, recurrent childhood cerebral astrocytoma diagnosis and inability to lie still for the entire imaging time,1
study interventions are intensity-modulated x-ray therapy (imrt), head and neck cancer diagnosis and clinically significant uncontrolled major cardiac respiratory renal hepatic gastrointestinal or hematologic disease but not limited to,1
study interventions are thyroidectomy, failure to confirm diagnosis of cancer in participant,1
study interventions are crizotinib, prior systemic chemotherapy for the study cancer note that prior chemotherapy for different cancer is allowable,1
study interventions are erlotinib hydrochloride, breast cancer diagnosis and serious or non healing active wound ulcer or bone fracture,1
study interventions are surgery, anti tumor therapy except small surgery within four weeks before enrollment,1
study interventions are vorinostat, stage ivb hypopharyngeal squamous cell carcinoma diagnosis and patients with known brain metastases should be excluded from this clinical trial,1
study interventions are erlotinib hydrochloride, metastatic non small cell lung cancer diagnosis and history of gastrointestinal perforation within last six months,1
study interventions are palliative pelvic soft-tissue radiation (external beam), rectal neoplasms diagnosis and unable to fill out questionnaires due to language or cognitive barriers,1
study interventions are veliparib, if there is history of prior malignancy they must not be receiving other specific treatment other than hormonal therapy for their cancer,1
study interventions are antibodies, stage ivb verrucous carcinoma of the oral cavity diagnosis and more than two prior lines of cytotoxic chemotherapy in the recurrent metastatic disease setting palliative treatment intent excluding single agent use of an egfr inhibitor,1
study interventions are pharmacogenomic studies, stage iiia gallbladder cancer diagnosis and patients with clinically significant bundle_branch block or pre existing clinically significant bradycardia will be excluded from the study,1
study interventions are antibodies, metastatic melanoma stage iv diagnosis and major trauma including surgery within four weeks prior to entering the study,1
study interventions are fine needle aspiration biopsy (fnab), breast neoplasms diagnosis and patients with no evidence of malignancy scheduled to undergo procedures under general anesthesia must fulfill the following eligibility requirements,1
study interventions are meditation therapy, digestive system neoplasm diagnosis and phase i,1
study interventions are octreotide, somatostatinoma diagnosis and medical condition uncontrolled by treatment making completion of study unlikely,1
study interventions are hydroxocobalamin, carcinoma transitional cell diagnosis and human immunodeficiency virus hiv positive diagnosis with cdfour count of less_than one hundred mmthree or detectable viral load within the past three months and receiving combination anti retroviral therapy,1
study interventions are endothelial growth factors, stage iiia ovarian cancer diagnosis and anticonvulsants stable dose are allowed,1
study interventions are ovapuldencel-t, fallopian tube carcinoma diagnosis and active infection or other active medical condition that could be eminently life threatening including active blood clotting or bleeding diathesis,1
study interventions are peg-rhg-csf, gynecological tumors diagnosis and sensitive to the product or other genetically_engineered biological products from escherichia coli strains,1
study interventions are mln8237, anaplastic large cell lymphoma diagnosis and examples include but are not limited to partial gastrectomy history of small intestine surgery and celiac disease,1
study interventions are multiport surgery, colonic neoplasms diagnosis and proctectomy or total coloproctectomy,1
study interventions are antibodies, ovarian mucinous cystadenocarcinoma diagnosis and concurrent use of anti coagulants warfarin etc,1
study interventions are veliparib, ependymoma diagnosis and patients with any clinically significant unrelated systemic illness serious infections or significant cardiac pulmonary hepatic or other organ dysfunction that would compromise the patient ability to tolerate protocol therapy or would likely interfere with the study procedures or results,1
study interventions are iv administration of gadolinium-containing contrast agent, recurrent adult brain tumor diagnosis and patients who may have shrapnel imbedded in their bodies such as from war wounds metal workers and machinists potential for metallic fragments in or near the eyes,1
study interventions are emd 521873, non hodgkin lymphoma diagnosis and clinically significant active cardiovascular disease,1
study interventions are immunoglobulin g, recurrent primary peritoneal carcinoma diagnosis and received oral or intravenous iv antibiotics within two weeks prior to cycle one day one patients receiving prophylactic antibiotics for prevention of urinary tract infection or chronic obstructive pulmonary disease are eligible,1
study interventions are opt-out outreach, cancer of the colon diagnosis and has iron deficiency anemia,1
study interventions are dasatinib," carcinoma non small cell lung diagnosis and absolute granulocyte count less_than one thousand, five hundred mm three",1
study interventions are vandetanib, carcinoma hepatocellular diagnosis and presence of left bundle_branch block,1
study interventions are erlotinib hydrochloride, non small cell lung cancer diagnosis and rheumatoid arthritis systemic lupus erythematosus sjogren disease sarcoidosis vasculitis polymyositis or glomerulonephritis requiring active steroid or other immunosuppressive therapy,1
study interventions are immunoglobulin g, recurrent glioblastoma diagnosis and if cardiac function assessment is clinically indicated or performed,1
study interventions are lenograstim, stage iv grade two follicular lymphoma diagnosis and patient has hypersensitivity to bortezomib boron or mannitol,1
study interventions are pasireotide long acting release (lar), carcinoid tumors diagnosis and patients with prior or concurrent malignancy except for the following,1
study interventions are panobinostat, breast cancer diagnosis and one of these methods of contraception must be barrier method,1
study interventions are erlotinib hydrochloride, history of any other malignancy in the last two years except prior history of in situ cancer basal or squamous cell skin cancer are eligible,1
study interventions are ab-16b5, solid tumor diagnosis and uncontrolled brain metastases,1
study interventions are chemoprevention, metastatic squamous neck cancer with occult primary squamous cell carcinoma diagnosis and inability to grant informed consent,1
study interventions are azacitidine, carcinoma non small cell lung diagnosis and refractory to prior taxane therapy for advanced disease,1
study interventions are erlotinib hydrochloride, prostate cancer diagnosis and if other causes are affecting plts counts such as autoimmune disorders patients are allowed on study,1
study interventions are polyestradiol phosphate, solid cancers diagnosis and female patients with known contraindication to oral contraceptions,1
study interventions are akt inhibitor mk2206, stage ivb major salivary gland carcinoma diagnosis and patients receiving any medications or substances that are major inhibitors or inducers of cytochrome pfour hundred and fifty family three subfamily polypeptide four cypfour hundred and fifty threeafour,1
study interventions are panobinostat, solid tumors diagnosis and patients with unresolved diarrhea greater_than ctcae grade two,1
study interventions are endothelial growth factors, primary peritoneal serous adenocarcinoma diagnosis and immuno compromised patients and patients known to be human immunodeficiency virus hiv positive and currently receiving antiretroviral therapy note,1
study interventions are carboxymethylcellulose sodium, glioma astrocytic diagnosis and history or current status of immune system abnormalities such as hyperimmunity autoimmune diseases that needed to be treated by systemic therapy such as immuno suppressants and hypoimmunity myelodysplastic disorders marrow failures aids transplant immunosuppression,1
study interventions are topotecan, large cell neuroendocrine ne tumors diagnosis and patients with known brain metastases are eligible see criteria above,1
study interventions are antibodies, recurrent adult brain tumor diagnosis and history of non healing wound ulcer or bone fracture within ninety days three months prior to registration,1
study interventions are irinotecan, recurrent colon carcinoma diagnosis and chemotherapy equal_than less_than fourteen days prior to registration,1
study interventions are ms-20, hepatocellular carcinoma diagnosis and patient with known hypersensitivity to any component of the study medication soy bean or soy product,1
study interventions are topotecan, carcinoma neuroendocrine diagnosis and prior treatment with topotecan or irinotecan will be an exclusion for phase ii,1
study interventions are irinotecan, stage iiib colon cancer diagnosis and ongoing or active infection,1
study interventions are antiviral agents, contiguous stage ii grade three follicular lymphoma diagnosis and concomitant anti graft versus host disease gvd treatment includes in vivo cell depletion,1
study interventions are lenograstim, breast neoplasms diagnosis and known central nervous system cns disease,1
study interventions are antibodies, recurrent metastatic squamous neck cancer with occult primary diagnosis and uncontrolled inter current illness pre planned surgery or procedure requiring hospitalization during the study period or any other condition or circumstance that could interfere with adherence to the study procedures or requirements or otherwise compromise the study objectives,1
study interventions are hyperthermia treatment, breast carcinoma diagnosis and unwilling or unable to follow protocol requirements,1
study interventions are panobinostat, non small cell lung cancer nsclc diagnosis and note,1
study interventions are laparotomy, melanoma diagnosis and if there are no indications of it then the patient will be registered on study and biopsy will be obtained at the time of laparotomy for ihp with the expectation that occult clinically significant cirrhosis is very unlikely,1
study interventions are talaporfin, pelvic cancer diagnosis and renal or liver function abnormalities from the baseline examination as evidenced by the following laboratory values us units,1
study interventions are lenograstim, stage iii multiple myeloma diagnosis and exclusion,1
study interventions are chemoprevention, stage ii squamous cell carcinoma of the hypopharynx diagnosis and inability to take oral nutrition liquids or history of aspiration pneumonia,1
study interventions are slnb versus completion alnd, breast cancer diagnosis and time since core biopsy greater_than three months optimal less_than one month,1
study interventions are deferasirox, stage small lymphocytic lymphoma diagnosis and patients with moderate or severe hearing loss as defined by audiogram,1
study interventions are plastic stents, evidence of distant metastases or locally advanced tumor,1
study interventions are 68ga-dotatate, neuroendocrine carcinoma diagnosis and use of any other investigational product or device within thirty days prior to dosing or known requirement for any other investigational agent prior to completion of all scheduled study assessments,1
study interventions are vorinostat, stage grade one follicular lymphoma diagnosis and patients undergoing total body irradiation tbi based conditioning regimen tbi one200 centigray_cgy,1
study interventions are maitake mushroom extract compound, breast neoplasms diagnosis and suffering from mental illness of not easy to control,1
study interventions are lenograstim, stage iv adult diffuse large cell lymphoma diagnosis and pregnant or lactating females,1
study interventions are 18f-ef5 pet/ct scan, ovarian neoplasms diagnosis and weight more than twenty doc kg physical limitation of imaging and radiotherapy couches or cannot fit through the pet ct machine diameter seventycm,1
study interventions are octreotide, untreated childhood supratentorial primitive neuroectodermal tumor diagnosis and women who are pregnant or breastfeeding,1
study interventions are isoflurane, colorectal neoplasms diagnosis and diabetes or other endocrine disorders,1
study interventions are methyl 5-aminolevulinate, basal cell carcinoma diagnosis and nodular bcc lesion in periorbital area ears and nasolabial fold,1
study interventions are endothelial growth factors, endometrial carcinoma diagnosis and patients on medications which alter cardiac conduction such as digitalis beta blockers or calcium channel blockers or who have other conduction abnormalities or cardiac dysfunction may be placed on study at the discretion of the investigator,1
study interventions are vidarabine, t cell lymphomas diagnosis and severe uncontrolled underlying diseases,1
study interventions are venetoclax, relapsed follicular lymphoma diagnosis and undergone an allogeneic stem cell transplant within the past one year,1
